,number,year,sex,age,perceverdrank,percdranklast30,PercDrank30,avgdrinkslast30,avgdaysdrinking,percbinginglast30,Drinkersbinging,avgdaysbinging,bingerspercdrinkingdaysarebinges,Bingerspercbinging
1,2790,2012,Male,13-Dec,0.10369573,0.021528525,2.1528525,2.160714286,2.482142857,0.004659498,0.4659498,2.461538462,0.537062937,53.7062937
2,2765,2012,Female,13-Dec,0.101664255,0.02170767,2.170767,2.690909091,4.655172414,0.009041591,0.9041591,5.04,0.633165829,63.3165829
3,2828,2012,Female,14-15,0.340884956,0.115044248,11.5044248,3.257053292,3.748447205,0.054455446,5.4455446,2.577922078,0.489193703,48.9193703
4,2920,2012,Male,14-15,0.309670782,0.105281207,10.52812071,3.658703072,3.576388889,0.05,5,2.821917808,0.601248429,60.12484288
5,3076,2012,Male,16-17,0.549414824,0.232119636,23.21196359,4.76980568,4.131123919,0.14336801,14.33680104,3.507936508,0.662593305,66.25933048
6,3020,2012,Female,16-17,0.566225166,0.250331126,25.03311258,3.971232877,4.06420765,0.139072848,13.90728477,3.069047619,0.59720433,59.72043302
7,3500,2012,Female,18-20,0.738857143,0.432,43.2,3.791610284,5.23201076,0.257428571,25.74285714,3.803551609,0.559997201,55.99972008
8,3463,2012,Male,18-20,0.748411323,0.462449451,46.24494512,5.33117304,6.203065134,0.332659544,33.26595437,4.793402778,0.65209273,65.20927302
9,5471,2012,Male,21-25,0.914442413,0.724314442,72.43144424,4.423316062,8.519590269,0.528057028,52.8057028,5.075458636,0.508492145,50.84921446
10,6181,2012,Female,21-25,0.905516907,0.644232325,64.42323249,3.158297222,6.29825449,0.361268403,36.12684032,3.557545902,0.432526595,43.2526595
11,2931,2012,Female,26-34,0.884339816,0.576595019,57.65950188,2.743080626,6.402628435,0.250426476,25.04264756,3.371934605,0.381549957,38.15499569
12,2561,2012,Male,26-34,0.928153065,0.683717298,68.37172979,3.884816754,8.50462963,0.462709879,46.2709879,4.65907173,0.45894041,45.89404103
14,7501,2012,Female,35+,0.853180424,0.498733164,49.87331644,2.204009753,7.419876111,0.14344754,14.34475403,3.74070632,0.375880823,37.58808229
15,6261,2012,Male,35+,0.923925204,0.592136807,59.21368068,2.971444261,10.10232558,0.283820476,28.3820476,5.240855374,0.409849414,40.98494136
